Member Number,Cancellation Date
10950346,20160131
10949489,20150915
10413653,20140731
10820414,20140929
10456582,20121231
10912351,20151021
10345751,20130603
10774642,20151231
10529378,20130403
10580806,20121130
10580796,20130228
10580802,20130228
10581029,20121231
10931787,20150718
10924892,20150624
10553770,20130731
10496485,20120930
10159979,20120930
10509494,20120723
10936523,20150831
10928584,20151231
10928584,20151231
10517336,20130131
10879238,20150731
10931683,20150831
10924440,20151130
10919635,20150608
10939201,20151231
10912208,20150921
10547785,20130228
10539685,20120516
10537033,20121231
10540084,20120802
10527701,20120419
10640837,20140108
10923013,20150620
10950942,20160131
10609278,20130609
10685517,20130825
10914794,20150831
10869850,20150710
10757918,20140331
10916082,20150531
10745492,20150228
10547455,20130430
10896292,20150329
10613369,20130331
10954233,20150622
10907548,20150228
10052717,20130731
10052717,20130731
10888076,20150831
10910069,20150516
10917254,20151006
10917254,20151006
10219071,20131031
10880898,20151130
10742417,20141031
10678794,20140430
10526397,20121231
10886056,20150323
10133554,20120324
10884665,20151119
10898389,20141205
10891746,20160114
10877402,20150531
10871150,20141130
10564277,20130124
10880387,20150326
10581215,20130630
10757785,20141130
10866872,20141202
10862915,20141221
10448404,20121031
10908901,20150531
10748274,20140122
10692503,20130921
10557955,20130731
10857231,20140831
10944150,20151231
10851884,20141111
10748027,20140731
10748027,20140731
10663598,20130430
10663598,20130430
10710626,20150331
10236622,20121231
10539390,20120501
10539421,20120501
10539421,20120501
10310334,20120229
10900665,20151231
10846015,20151031
10816875,20150423
10219101,20140630
10826154,20140519
10830665,20140502
10515186,20130103
10696454,20151231
10696454,20151231
10857128,20141030
10285702,20121025
10285702,20121025
10285702,20121025
10285702,20121025
10285702,20121025
10285702,20121025
10236561,20130430
10838505,20140928
10910917,20150228
10519161,20120329
10707285,20140131
10831518,20140630
10569994,20120711
10236864,20140531
10633805,20121217
10411914,20141215
10877276,20151029
10931389,20150531
10869573,20141031
10833881,20151231
10836326,20140630
10840229,20150930
10840229,20150930
10294168,20141031
10602338,20121205
10541941,20130430
10770063,20140817
10819943,20150429
10566927,20120930
10818574,20151130
10526764,20130205
10824408,20140930
10825314,20151130
10801838,20150731
10815652,20150331
10457665,20131231
10173166,20131001
10819861,20150429
10616508,20131231
10817889,20150430
10751375,20131031
10823029,20150507
10853896,20150820
10800082,20150304
10809547,20140731
10786122,20140422
10809393,20150331
10906243,20150228
10867290,20141031
10789564,20140514
10233260,20120715
10233260,20120715
10921405,20150331
10802560,20140811
10858106,20150131
10812872,20150331
10787116,20140228
10417273,20150731
10217364,20130228
10535703,20140803
10785689,20140331
10786473,20140630
10794875,20150301
10814242,20140930
10788635,20140514
10794073,20140630
10780784,20150930
10780784,20150930
10789020,20140228
10770055,20131118
10830849,20140729
10798430,20140531
10785418,20140731
10847052,20140731
10847052,20140731
10918432,20150331
10813596,20140711
10789362,20141130
10766664,20141130
10775247,20140630
10780352,20140228
10894719,20151220
10935071,20150731
10777961,20150831
10774728,20150214
10766055,20131120
10801037,20140614
10131768,20150930
10617834,20150731
10174176,20150331
10752932,20131013
10549057,20120921
10757650,20140214
10769171,20140930
10769171,20140930
10511346,20151031
10607909,20130531
10761251,20131130
10546178,20120831
10839553,20140630
10768005,20131231
10760982,20140731
10775890,20140630
10810572,20150331
10771587,20160131
10741411,20150131
10491128,20140604
10890093,20151102
10890093,20151102
10890093,20151102
10831679,20140513
10831679,20140513
10238037,20130205
10698841,20140831
10295990,20140731
10295990,20140731
10480365,20130131
10480358,20130131
10551379,20130831
10343660,20130122
10214871,20151102
10214871,20151102
10214871,20151102
10214871,20151102
10078276,20130930
10676773,20140430
10697904,20140831
10697904,20140831
10909618,20150129
10903921,20151031
10340282,20141231
10679395,20141231
10679395,20141231
10234650,20130630
10401117,20131031
10594972,20140831
10594972,20140831
10584070,20121119
10202581,20120331
10202582,20120331
10488777,20130131
10148538,20140531
10148538,20140531
10737839,20130827
10737839,20130827
10168193,20150228
10169663,20140430
10697420,20150810
10697882,20130731
10697882,20130731
10523616,20121031
10576888,20130531
10148318,20130531
10811454,20141031
10737353,20130930
10769045,20141231
10260871,20130731
10593743,20130131
10806903,20140610
10769122,20140630
10149299,20150930
10149299,20150930
10457488,20140930
10772449,20141130
10708591,20130801
10708591,20130801
10708591,20130801
10708591,20130801
10139589,20111231
10457903,20121231
10358408,20151231
10706534,20150428
10756646,20150831
10756646,20150831
10452755,20140630
10571000,20150430
10257359,20150131
10384141,20140831
10797361,20140228
10797361,20140228
10846428,20141031
10697557,20141130
10913141,20150331
10913141,20150331
10169465,20140903
10697219,20130611
10583627,20130103
10783231,20140104
10783231,20140104
10152517,20150430
10149045,20130331
10218961,20130531
10705221,20151031
10138627,20150531
10173545,20130228
10131437,20120927
10131437,20120927
10711362,20131130
10127820,20130630
10123833,20140602
10123833,20140602
10706530,20140331
10561722,20130531
10745586,20151231
10745586,20151231
10745586,20151231
10687836,20140531
10687836,20140531
10201631,20151231
10883048,20150330
10147910,20121231
10148312,20120331
10693563,20130930
10448590,20120630
10836512,20140630
10091122,20110930
10126361,20131231
10196988,20121231
10149373,20140731
10149373,20140731
10783837,20150630
10783837,20150630
10783837,20150630
10139557,20130429
10798362,20140210
10696182,20150831
10118122,20140228
10118141,20120831
10219460,20140228
10086205,20121121
10131539,20130131
10471803,20120531
10148301,20131231
10701234,20131117
10126447,20121231
10796568,20150531
10131756,20120229
10131796,20140731
10124975,20120630
10131772,20130430
10123299,20140630
10125696,20130531
10089531,20130531
10138629,20130731
10684218,20130612
10841022,20140731
10122330,20141030
10122330,20141030
10122330,20141030
10122330,20141030
10123054,20131231
10144861,20121231
10120958,20130908
10127815,20140731
10755590,20140331
10113476,20131106
10495828,20120831
10112729,20121031
10117601,20151130
10113166,20130630
10113022,20130731
10113023,20130731
10113398,20120703
10704759,20131231
10704759,20131231
10607377,20121022
10118064,20130228
10112664,20120903
10117015,20121209
10682616,20150126
10678046,20130730
10687416,20130808
10756426,20141130
10678531,20131031
10119238,20130228
10118124,20130930
10113224,20120731
10679682,20130831
10139818,20130716
10673303,20130430
10673303,20130430
10110487,20131031
10864550,20150831
10118137,20111231
10053120,20130731
10113081,20130930
10679493,20130414
10679495,20130414
10512325,20121130
10512325,20121130
10512325,20121130
10537340,20121031
10359103,20130228
10656952,20130526
10654636,20130131
10675036,20140930
10676198,20130724
10676198,20130724
10113188,20141231
10682186,20130814
10670450,20141031
10118114,20131130
10117000,20121231
10668394,20150603
10668394,20150603
10684392,20131130
10673853,20150331
10665228,20130219
10662781,20130408
10661188,20130831
10667255,20140324
10667574,20130226
10670834,20130704
10650446,20140331
10469426,20130228
10754001,20140131
10754001,20140131
10657996,20140227
10667359,20130530
10508960,20120331
10647593,20130113
10107687,20131031
10674715,20130630
10107577,20131031
10669121,20140627
10653670,20150831
10675012,20130719
10671363,20130630
10769547,20140531
10906880,20150630
10663902,20140930
10546176,20121113
10653969,20130519
10807932,20150630
10731763,20140531
10172685,20131231
10915673,20150531
10668742,20140228
10636880,20150930
10868347,20150106
10681183,20150831
10643004,20130531
10893372,20141231
10893372,20141231
10558976,20130612
10650656,20150430
10650662,20151031
10651835,20141031
10641600,20130228
10649053,20130207
10645215,20130429
10645222,20130429
10739223,20131130
10881978,20141130
10647180,20130402
10639154,20131231
10105693,20131231
10653276,20130731
10654763,20130605
10654763,20130605
10654763,20130605
10645699,20140601
10645699,20140601
10648873,20130228
10620744,20140228
10618297,20141031
10706964,20141231
10506484,20121031
10831316,20160131
10620490,20121023
10620492,20121023
10639473,20130630
10757547,20140430
10103518,20140228
10640495,20130630
10632680,20140430
10633918,20130317
10630034,20130930
10619132,20141031
10393660,20141130
10674116,20130831
10633719,20130131
10634007,20130318
10133531,20120630
10133531,20120630
10133531,20120630
10133530,20120630
10601320,20131011
10601320,20131011
10601340,20130430
10603662,20120926
10599054,20120925
10599075,20130630
10600148,20120911
10622928,20130131
10573088,20130131
10627145,20131229
10813255,20140731
10630044,20130630
10653515,20130228
10633802,20131217
10602278,20130731
10602282,20130831
10635728,20130131
10603448,20130831
10603450,20121231
10599984,20121009
10599991,20121008
10548634,20120731
10623373,20121031
10621030,20130131
10345607,20150228
10345024,20140831
10344428,20141031
10600280,20130831
10613219,20130903
10614556,20130331
10615915,20121017
10654417,20141031
10609435,20130831
10906626,20150831
10607086,20121231
10608255,20130331
10604653,20130531
10602045,20120915
10598616,20130430
10600931,20130731
10859397,20140930
10619040,20140430
10607401,20130731
10630812,20130307
10607391,20130331
10607393,20130609
10607394,20130630
10607395,20130228
10735359,20150331
10708767,20131031
10782658,20140228
10598893,20120930
10598913,20121231
10615679,20130430
10611853,20130430
10609261,20130531
10604451,20131017
10616370,20130731
10613315,20130531
10613349,20130831
10613351,20130831
10609759,20130228
10605951,20130831
10604727,20130630
10600030,20121231
10601167,20120913
10601167,20120913
10601195,20130131
10601200,20121031
10601218,20130731
10627016,20141231
10614062,20121113
10612820,20130731
10607816,20130228
10607820,20130228
10607857,20130531
10605131,20160126
10605150,20130831
10601629,20130228
10604206,20130831
10603344,20140331
10598738,20130630
10600944,20121007
10598717,20121231
10622111,20150831
10904998,20160103
10614806,20121231
10587681,20121231
10583181,20130430
10583184,20130430
10583188,20121031
10583191,20121031
10601259,20121231
10598975,20121231
10598982,20121231
10615758,20130429
10601683,20121031
10601685,20130430
10601688,20130430
10601692,20121031
10601695,20130228
10601712,20130630
10615851,20130531
10615856,20130831
10600518,20131231
10600563,20140714
10937713,20150531
10611693,20130731
10611730,20130630
10167617,20121106
10606939,20130630
10752827,20141130
10752827,20141130
10603050,20130131
10603726,20120918
10595701,20130831
10595706,20130630
10598479,20130531
10600767,20130331
10608885,20130731
10585188,20121130
10586334,20121231
10586355,20130228
10585203,20130731
10581886,20130630
10651320,20140131
10604782,20130430
10609621,20130831
10598362,20130228
10880694,20150731
10601027,20130331
10617153,20121211
10612528,20121231
10615964,20130331
10929515,20150731
10613620,20130630
10589799,20130430
10604133,20130731
10604137,20130430
10589779,20130228
10600589,20130228
10600655,20121031
10601727,20130228
10601728,20130831
10601739,20130531
10601742,20130531
10601777,20130103
10610102,20130331
10600581,20121231
10600626,20121231
10607746,20130331
10608917,20130331
10584987,20130131
10586127,20121231
10586142,20120810
10550465,20121231
10606581,20120926
10581706,20130831
10614275,20130106
10615618,20121231
10615632,20130131
10615639,20121231
10607455,20130930
10611442,20130731
10611444,20130731
10603882,20130831
10603887,20130831
10607900,20121031
10607915,20130531
10580866,20140630
10581938,20121130
10583036,20120831
10597785,20120906
10604576,20130430
10664553,20130507
10602217,20130831
10603409,20130731
10603417,20130731
10604592,20130430
10591780,20130531
10591838,20130630
10588418,20130630
10613395,20121231
10614812,20130131
10614821,20121231
10609849,20130831
10612267,20121017
10583656,20120930
10609837,20130331
10583633,20121231
10614844,20121231
10614874,20130731
10614880,20130831
10614881,20121231
10588697,20130331
10585235,20130731
10603955,20121231
10609896,20121001
10609905,20121209
10607569,20130327
10099870,20121007
10099870,20121007
10588221,20121130
10596863,20130331
10594393,20130326
10886755,20150131
10594411,20130731
10595586,20120917
10595592,20130331
10099181,20151031
10587379,20121004
10712577,20140131
10582822,20121231
10582043,20130630
10588160,20121231
10597902,20121231
10597410,20120904
10591054,20121231
10591075,20130430
10589940,20130228
10587664,20130731
10589123,20131231
10589140,20130630
10749852,20140929
10587948,20121231
10595357,20130331
10581052,20130630
10581056,20130630
10598018,20130131
10598037,20130331
10598042,20130228
10597770,20130331
10597780,20130131
10597782,20130331
10573467,20121031
10593127,20130331
10593109,20130430
10593140,20121031
10678995,20130630
10594267,20130430
10588251,20130531
10591968,20130430
10583692,20121231
10583723,20130131
10581805,20130228
10581809,20151231
10581820,20120801
10596594,20130731
10596600,20130228
10594838,20130103
10737130,20160131
10891990,20150331
10590826,20130228
10586308,20130630
10586312,20130228
10591810,20130430
10585468,20130909
10599519,20141130
10586618,20120814
10595062,20130430
10584348,20121231
10584351,20121231
10584356,20121231
10585460,20130630
10585462,20121107
10590585,20121130
10575454,20130331
10575485,20130331
10572151,20121231
10572158,20130616
10085389,20120831
10595175,20130630
10592909,20130630
10449199,20141031
10583548,20130131
10581598,20121130
10582668,20121231
10596429,20130531
10596446,20121231
10701259,20131031
10588302,20130531
10575933,20130630
10566502,20121231
10579705,20121031
10593740,20130331
10590391,20121231
10590401,20121130
10591444,20130630
10573057,20130630
10573051,20130630
10573070,20130630
10113501,20120831
10113501,20120831
10113501,20120831
10590424,20130430
10590429,20120930
10591554,20130430
10591572,20121231
10585539,20130331
10585553,20121231
10581128,20130430
10582234,20130331
10553851,20120607
10597268,20121001
10594856,20121130
10572224,20121231
10591391,20120925
10583609,20130531
10583552,20130430
10583557,20130131
10564160,20130131
10578437,20121119
10590164,20120824
10590168,20120903
10591292,20130430
10599846,20150228
10576166,20140331
10576166,20140331
10572846,20121031
10576112,20130331
10619022,20141130
10594728,20130115
10594719,20130115
10594721,20130115
10594723,20130115
10594725,20130115
10594727,20130115
10594730,20130115
10594731,20130115
10594734,20130115
10594736,20120913
10594737,20130115
10594739,20120913
10594774,20121231
10591360,20121014
10591336,20130331
10591339,20130430
10591349,20130228
10579784,20121130
10575501,20130409
10100764,20130131
10569694,20121231
10571954,20121031
10573080,20130531
10833567,20140630
10568613,20131231
10587932,20130630
10566069,20121031
10577154,20130531
10562769,20130331
10577135,20120930
10577137,20120727
10577142,20120930
10570004,20120808
10568906,20130430
10568914,20130331
10564391,20120801
10564397,20130131
10565482,20130331
10573728,20130331
10571468,20121231
10572579,20130430
10481758,20140731
10566653,20121031
10568953,20121231
10568977,20130131
10576634,20130630
10572238,20130331
10572263,20121130
10563316,20130430
10578756,20130131
10578763,20120809
10578772,20130627
10562594,20130203
10575957,20130131
10576910,20130531
10568641,20121031
10607464,20130831
10531817,20120717
10564211,20121231
10566356,20130106
10640026,20130404
10574639,20120802
10563064,20121231
10563077,20130131
10564240,20130327
10573506,20121231
10573514,20121022
10570123,20121031
10570969,20130131
10571016,20130531
10569003,20130430
10569012,20121130
10567613,20120709
10566429,20121031
10566448,20120706
10566453,20140630
10577160,20130531
10577161,20130531
10575378,20130430
10572931,20130228
10569787,20130103
10569806,20130331
10569298,20130228
10568174,20121002
10564283,20130430
10564828,20121130
10692070,20130528
10576463,20130228
10576477,20121231
10576499,20121130
10579960,20130131
10576735,20121231
10576780,20121031
10565067,20120930
10566176,20121130
10551666,20120903
10473116,20120222
10599495,20130731
10552773,20130131
10566235,20130113
10576006,20121028
10576972,20121130
10576991,20130228
10573818,20121001
10573819,20130331
10573824,20121130
10678151,20130408
10678151,20130408
10571832,20121231
10574133,20121112
10568489,20130131
10570674,20121031
10570701,20121031
10570207,20121231
10562911,20121231
10562916,20121231
10562919,20121231
10562940,20121031
10562940,20121031
10578345,20120910
10559719,20130813
10558548,20130115
10558548,20130115
10564860,20130228
10565966,20130531
10565983,20130331
10550249,20121031
10564947,20130625
10566019,20121031
10566023,20121031
10573579,20121031
10740439,20140930
10572758,20150430
10571636,20130205
10571658,20130430
10572735,20120930
10568264,20130228
10547167,20130115
10547200,20120930
10579233,20130509
10561870,20120627
10577864,20120930
10578939,20130531
10577861,20120930
10550039,20130331
10052788,20130731
10569199,20130430
10558685,20121231
10555189,20130331
10769691,20131231
10570279,20130124
10571458,20121231
10572542,20130331
10570232,20120802
10551536,20121231
10549205,20120610
10544738,20131031
10577920,20121231
10585024,20130609
10650788,20150131
10562464,20130531
10575873,20130430
10576879,20121231
10577945,20121009
10561674,20130430
10561685,20130430
10712873,20140831
10555850,20141231
10517428,20121031
10546101,20130331
10554411,20120630
10561026,20130430
10561048,20120731
10562221,20130228
10552140,20130131
10559779,20130131
10567881,20120704
10548739,20121231
10558442,20120902
10556142,20141231
10552874,20130228
10552880,20130228
10550156,20120731
10550159,20130430
10578831,20121031
10561733,20130531
10561735,20121231
10546089,20120605
10558761,20160131
10577709,20140630
10577720,20130630
10556372,20121130
10556375,20121001
10556809,20140403
10557977,20130131
10545890,20130131
10553052,20120930
10553074,20130430
10559552,20150131
10559554,20120930
10559573,20130630
10549633,20121231
10549327,20130331
10549359,20121130
10631555,20140430
10547388,20120606
10551309,20150131
10736709,20130930
10552672,20120611
10552680,20121031
10552694,20121231
10553866,20130228
10553885,20120930
10553900,20130331
10551589,20120903
10552656,20121031
10548171,20121031
10548174,20121031
10549291,20121031
10547684,20130930
10544279,20121031
10544283,20130131
10544320,20120731
10544339,20120930
10559614,20130331
10559629,20121031
10560072,20120827
10545707,20121130
10545710,20130131
10554243,20120606
10554243,20120606
10544566,20150131
10544580,20130430
10314247,20151130
10533775,20120731
10533780,20121029
10535960,20130106
10561825,20130331
10561848,20121031
10555728,20130228
10556867,20130331
10552205,20120625
10552486,20121031
10549940,20120831
10550270,20121031
10550228,20121031
10550231,20130331
10551336,20130331
10551359,20121231
10551369,20120702
10551372,20120802
10551375,20130831
10053310,20131130
10546349,20130430
10735463,20130827
10557137,20121231
10571163,20130228
10539225,20120831
10539236,20120731
10537063,20121231
10537065,20130331
10537071,20130331
10537075,20120531
10561517,20121031
10559189,20120710
10459989,20131031
10531358,20130101
10532425,20121002
10712387,20140831
10712387,20140831
10545553,20120515
10547825,20130131
10549706,20120920
10133308,20120429
10530598,20120702
10559236,20121231
10543868,20121231
10556958,20130331
10553369,20121031
10553390,20130131
10553401,20121130
10540133,20130131
10541247,20130131
10541250,20121031
10603301,20130930
10535788,20130228
10538983,20150131
10544126,20121031
10544186,20131231
10544194,20130131
10535778,20130131
10535781,20130131
10560124,20121231
10560125,20130213
10858897,20140805
10532234,20121231
10533292,20120530
10531151,20130327
10527863,20121231
10544235,20121031
10537121,20121231
10559012,20130331
10532732,20121031
10533812,20121031
10533829,20130630
10533839,20130331
10533849,20130102
10217547,20131231
10549789,20130331
10532689,20120610
10532739,20160114
10528133,20130123
10528170,20121231
10528175,20121231
10528178,20121231
10557885,20120711
10557902,20130131
10712669,20140228
10543681,20140731
10557848,20121231
10552049,20130721
10552054,20120528
10552059,20130331
10554342,20130228
10554393,20121031
10538806,20121130
10539891,20130331
10539903,20120704
10537675,20121031
10537718,20120831
10534409,20121031
10562260,20120831
10540382,20130331
10601166,20130430
10541496,20120724
10533092,20121231
10533101,20121130
10528336,20120410
10564824,20130630
10527651,20120610
10562333,20130331
10561181,20130228
10536861,20121209
10535796,20130228
10535802,20121231
10535804,20120425
10549600,20120930
10133095,20120429
10550222,20120611
10844682,20140731
10547280,20130331
10547318,20140331
10133323,20120429
10556599,20120722
10529070,20120502
10527924,20130131
10556447,20130430
10556446,20130430
10541001,20130430
10552936,20120930
10811776,20150531
10552989,20121231
10538617,20121002
10538622,20121231
10552973,20130131
10874773,20150531
10536454,20121130
10536469,20121031
10537499,20131003
10537509,20120902
10527079,20121129
10540148,20121231
10541331,20150131
10530797,20121031
10530800,20130331
10529656,20120410
10124397,20150331
10529682,20121031
10529695,20120731
10544109,20120930
10527177,20121130
10529381,20130403
10529392,20130403
10527128,20120930
10527153,20121031
10530171,20121130
10531184,20130113
10531211,20130131
10531219,20121031
10528199,20121231
10528201,20121231
10528205,20121231
10528208,20121231
10543291,20130331
10527687,20121231
10636277,20141031
10539147,20120630
10535899,20121231
10536974,20120930
10817251,20141130
10533980,20120630
10541093,20120503
10538879,20130131
10509394,20130131
10509398,20130131
10510521,20120328
10541180,20121231
10541182,20140831
10553080,20121031
10828327,20150430
10828327,20150430
10828327,20150430
10543628,20130531
10848498,20150731
10540034,20130602
10541183,20121231
10541187,20121231
10541189,20121231
10530745,20120731
10543065,20120814
10867852,20141031
10538965,20150131
10535693,20121130
10515029,20121031
10516071,20120731
10516094,20120930
10540903,20140731
10538671,20121031
10540854,20150228
10540868,20130226
10540869,20130228
10536476,20130131
10538643,20120816
10513629,20120630
10509221,20121114
10510314,20121231
10543359,20120510
10543361,20120510
10538719,20130331
10531941,20130131
10531949,20130131
10530033,20130331
10531072,20120930
10543334,20120510
10526628,20121031
10527749,20121231
10543943,20130131
10840021,20140930
10840021,20140930
10543305,20130331
10537644,20120530
10522723,20120930
10534348,20120516
10540641,20130430
10513650,20130228
10536312,20120731
10536342,20140309
10558676,20140930
10537353,20121031
10510162,20121231
10511209,20121130
10523392,20120330
10524492,20121231
10524494,20120630
10524526,20120531
10540684,20121031
10540697,20121031
10540730,20121231
10541994,20121031
10532798,20121031
10537409,20121031
10537435,20130228
10530607,20130831
10530654,20140930
10664482,20130225
10529801,20120416
10529817,20120419
10543147,20120510
10526409,20121231
10671387,20141231
10543136,20140430
10522565,20120731
10533051,20120430
10534131,20121031
10493402,20120210
10493402,20120210
10515635,20121130
10535014,20130131
10053623,20121130
10686237,20130915
10534981,20130116
10542964,20121231
10539440,20121031
10669553,20140430
10512635,20120831
10511504,20130228
10528481,20121031
10544078,20140228
10541674,20120930
10542919,20121231
10542921,20141031
10542924,20121231
10542926,20121231
10542930,20121231
10542939,20121231
10523465,20121231
10524591,20120930
10522351,20120831
10532876,20130430
10515455,20120730
10515463,20121231
10515470,20120619
10521515,20120930
10509327,20130228
10592046,20130131
10524153,20120517
10521898,20120831
10521905,20120630
10522672,20120831
10522674,20120630
10510177,20120930
10659468,20140131
10510470,20121231
10523242,20120731
10523715,20130228
10521105,20121031
10521113,20120930
10516018,20120831
10517113,20121130
10517706,20121010
10514980,20121231
10516010,20120930
10581328,20121031
10513052,20121031
10517981,20120430
10517999,20120430
10525041,20121130
10525026,20130228
10564922,20130228
10559198,20121031
10693617,20130605
